district,year,area,production,yield,mean_ndvi,peak_ndvi_x,long_term_ndvi,ndvi_anomaly,max_temp,seasonal_rainfall,peak_ndvi_y,peak_evi,max_water_stress,max_atmospheric_thirst,total_rain_sat
rampur,2007,1507.0,3388.0,2.248175182481752,0.5723741819404231,0.7397323096918669,0.5363818293282999,0.0359923526121231,32.35926274381355,951.4089757298008,0.684850238169296,0.5675694357917016,-0.0393431593810036,34.03267166672668,5.770561545210879
rampur,2008,139590.0,274294.0,1.964997492657067,0.5184515054475078,0.7043641966122872,0.5363818293282999,-0.017930323880792,30.937718522103346,1060.6588838763948,0.6344000697135925,0.5242547148497596,-0.0357112029270756,29.93225591653744,2.085233476363899
rampur,2008,3816.0,7498.0,1.9648846960167716,0.5184515054475078,0.7043641966122872,0.5363818293282999,-0.017930323880792,30.937718522103346,1060.6588838763948,0.6344000697135925,0.5242547148497596,-0.0357112029270756,29.93225591653744,2.085233476363899
rampur,2009,116154.0,260766.0,2.2450023245002324,0.5338241318237543,0.7718517941064953,0.5363818293282999,-0.0025576975045455,33.28477740486475,912.3603251548589,0.6241558011098765,0.5328286545376151,-0.0167853048046262,33.68555391290761,7.483101840166352
rampur,2009,4084.0,9169.0,2.245102840352596,0.5338241318237543,0.7718517941064953,0.5363818293282999,-0.0025576975045455,33.28477740486475,912.3603251548589,0.6241558011098765,0.5328286545376151,-0.0167853048046262,33.68555391290761,7.483101840166352
rampur,2010,140906.0,267580.0,1.898996494116645,0.5041062259666831,0.751347165872081,0.5363818293282999,-0.0322756033616168,32.35346221653152,1402.0357125355629,0.6804072204841735,0.5059496326851991,-0.0083545660563012,28.89095037199963,3.4612976117501417
rampur,2010,5170.0,9818.0,1.8990328820116051,0.5041062259666831,0.751347165872081,0.5363818293282999,-0.0322756033616168,32.35346221653152,1402.0357125355629,0.6804072204841735,0.5059496326851991,-0.0083545660563012,28.89095037199963,3.4612976117501417
rampur,2011,140595.0,306075.0,2.176997759522032,0.5663956659049062,0.7624857226352569,0.5363818293282999,0.0300138365766062,31.779021334397328,1343.2331819600538,0.6714479076717592,0.4939824134794527,0.0171175519680285,32.48229041214435,10.896492505919541
rampur,2011,5994.0,13049.0,2.1770103436770105,0.5663956659049062,0.7624857226352569,0.5363818293282999,0.0300138365766062,31.779021334397328,1343.2331819600538,0.6714479076717592,0.4939824134794527,0.0171175519680285,32.48229041214435,10.896492505919541
rampur,2012,133026.0,302368.0,2.272999263301911,0.5266961010633132,0.7752376755994637,0.5363818293282999,-0.0096857282649867,32.99059118639184,1109.3892342998572,0.6974278911133366,0.5385616166351148,0.003983922089335,32.07981562278397,9.07842161564442
rampur,2012,4516.0,10265.0,2.2730292294065544,0.5266961010633132,0.7752376755994637,0.5363818293282999,-0.0096857282649867,32.99059118639184,1109.3892342998572,0.6974278911133366,0.5385616166351148,0.003983922089335,32.07981562278397,9.07842161564442
rampur,2013,136970.0,306950.0,2.2410016791998246,0.6127623297772883,0.7690862459591424,0.5363818293282999,0.0763805004489883,30.8806601446744,1470.9537841666531,0.6614104538216001,0.4902039199723316,0.0138851830278796,32.255131912643165,11.8832590535944
rampur,2013,6050.0,13558.0,2.24099173553719,0.6127623297772883,0.7690862459591424,0.5363818293282999,0.0763805004489883,30.8806601446744,1470.9537841666531,0.6614104538216001,0.4902039199723316,0.0138851830278796,32.255131912643165,11.8832590535944
rampur,2014,124076.0,280412.0,2.2600019342983333,0.5253602159105475,0.742216182500152,0.5363818293282999,-0.0110216134177524,33.334767610221704,716.0334817521496,0.5685314374171089,0.494661140230113,-0.0013073495873685,34.6925256313177,8.059939061767572
