Model,MSE,RMSE,R2
XGBoost,0.007869780222394792,0.08871178175639802,0.7769160427816112
Ensemble (Voting),0.008453196984527829,0.0919412692131658,0.7603779799226497
Random Forest,0.009177180302335905,0.09579760071283573,0.7398552894621051
Ridge Regression,0.010991471604506952,0.10484021940318015,0.6884257359297883
